TransactionID,Amount,Timestamp,TransactionLocation,IsFraud
8036,2763.365182,57:31.1,Chicago,1
2443,762.1399108,57:31.1,Chennai,0
3227,242.2953049,57:31.1,Chennai,0
2843,918.5080057,57:31.1,Chennai,0
2237,892.4101956,57:31.1,Mumbai,0
1662,516.1637483,57:31.1,Chennai,0
4923,597.8318133,57:31.1,Indore,0
4960,749.6200672,57:31.1,Bengaluru,0
1386,325.8648742,57:31.1,Indore,0
5321,283.2677173,57:31.1,Indore,0
6947,137.3665091,57:31.1,Chennai,0
5527,639.324059,57:31.1,Bengaluru,0
1973,273.7977392,57:31.1,Indore,0
1108,758.4802372,57:31.1,Chennai,0
7173,378.9692341,57:31.1,Mumbai,0
6991,946.9559966,57:31.1,Mumbai,0
3533,326.9276641,57:31.1,Chennai,0
1472,738.71076,57:31.1,Indore,0
3047,423.3059083,57:31.1,Chennai,0
964,389.9063184,57:31.1,Mumbai,0
6543,967.3607832,57:31.1,Indore,0
5530,293.3624426,57:31.1,Mumbai,0
1080,950.0112228,57:31.1,Bengaluru,0
7807,719.7405077,57:31.1,Mumbai,0
6117,659.2429048,57:31.1,Bengaluru,0
7179,211.31796,57:31.1,Mumbai,0
4793,61.16671796,57:31.1,Bengaluru,0
5908,778.2069866,57:31.1,Bengaluru,0
5872,237.4837554,57:31.1,Indore,0
1811,660.642417,57:31.1,Chennai,0
6509,854.6609205,57:31.1,Chennai,0
631,713.6362363,57:31.1,Chennai,0
1103,883.9020991,57:31.1,Bengaluru,0
6338,190.7448089,57:31.1,Chennai,0
3024,333.123701,57:31.1,Mumbai,0
5755,910.285928,57:31.1,Mumbai,0
5259,417.7471147,57:31.1,Indore,0
5947,339.1683725,57:31.1,Mumbai,0
7673,882.9536542,57:31.1,Chennai,0
247,428.7559642,57:31.1,Bengaluru,0
517,377.0869035,57:31.1,Bengaluru,0
591,139.6883455,57:31.1,Mumbai,0
8122,2323.880953,57:31.1,New York,1
3972,544.6544638,57:31.1,Chennai,0
7918,122.1436285,57:31.1,Chennai,0
5346,538.0026035,57:31.1,Bengaluru,0
3593,568.1595906,57:31.1,Bengaluru,0
121,807.632715,57:31.1,Chennai,0
6571,562.5487717,57:31.1,Indore,0
3845,162.0575932,57:31.1,Mumbai,0
8080,3844.680371,57:31.1,Houston,1
5806,89.30857018,57:31.1,Mumbai,0
693,508.1027683,57:31.1,Chennai,0
4966,216.815409,57:31.1,Chennai,0
3555,144.9347072,57:31.1,Chennai,0
5339,909.6857957,57:31.1,Chennai,0
6413,856.7154167,57:31.1,Chennai,0
5216,608.6031654,57:31.1,Indore,0
3886,934.3698101,57:31.1,Mumbai,0
5964,772.0641992,57:31.1,Bengaluru,0
3996,442.6649276,57:31.1,Bengaluru,0
4828,168.3989728,57:31.1,Mumbai,0
5388,967.0015461,57:31.1,Mumbai,0
4523,890.767797,57:31.1,Chennai,0
6423,59.17959299,57:31.1,Mumbai,0
2799,981.1966589,57:31.1,Mumbai,0
7612,179.6622274,57:31.1,Bengaluru,0
6911,416.6545997,57:31.1,Mumbai,0
7656,753.5596189,57:31.1,Indore,0
6492,299.6272239,57:31.1,Indore,0
7340,534.0833144,57:31.1,Indore,0
4565,231.849772,57:31.1,Bengaluru,0
860,66.64293079,57:31.1,Bengaluru,0
172,17.5712411,57:31.1,Chennai,0
7811,223.8669284,57:31.1,Chennai,0
2202,111.6098727,57:31.1,Indore,0
68,802.3947838,57:31.1,Bengaluru,0
2045,860.2795537,57:31.1,Chennai,0
5948,8.084720962,57:31.1,Mumbai,0
337,855.6051234,57:31.1,Chennai,0
7591,192.8242347,57:31.1,Mumbai,0
5349,450.4937306,57:31.1,Chennai,0
6463,948.8417072,57:31.1,Bengaluru,0
890,243.9290188,57:31.1,Mumbai,0
5394,583.5226515,57:31.1,Mumbai,0
7571,367.8024561,57:31.1,Mumbai,0
2150,828.4210032,57:31.1,Mumbai,0
6466,56.30445712,57:31.1,Bengaluru,0
3474,699.9399301,57:31.1,Chennai,0
6209,402.8581533,57:31.1,Indore,0
1173,632.1817135,57:31.1,Chennai,0
4434,922.5118494,57:31.1,Bengaluru,0
1819,625.0389053,57:31.1,Indore,0
6094,564.1733643,57:31.1,Bengaluru,0
7451,536.8739727,57:31.1,Chennai,0
2791,712.0110829,57:31.1,Bengaluru,0
1714,460.3406233,57:31.1,Bengaluru,0
3119,249.1278841,57:31.1,Bengaluru,0
6620,725.7427003,57:31.1,Chennai,0
6972,602.084922,57:31.1,Indore,0
5581,40.90802531,57:31.1,Chennai,0
3176,186.4610582,57:31.1,Mumbai,0
5606,598.0846532,57:31.1,Chennai,0
5634,189.0439676,57:31.1,Chennai,0
3036,277.0427894,57:31.1,Indore,0
4128,945.9787194,57:31.1,Chennai,0
5976,952.3078183,57:31.1,Indore,0
5331,259.533616,57:31.1,Bengaluru,0
1061,873.8034371,57:31.1,Chennai,0
6256,550.3270442,57:31.1,Mumbai,0
4250,969.3524905,57:31.1,Chennai,0
8069,4330.871354,57:31.1,New York,1
105,907.6589075,57:31.1,Mumbai,0
3251,532.9715623,57:31.1,Chennai,0
7414,825.3097408,57:31.1,Mumbai,0
1539,182.2569093,57:31.1,Bengaluru,0
5252,966.7394339,57:31.1,Bengaluru,0
7464,368.9271722,57:31.1,Chennai,0
3382,432.9138802,57:31.1,Chennai,0
5594,972.5956674,57:31.1,Indore,0
4678,961.455203,57:31.1,Chennai,0
5103,571.3361467,57:31.1,Mumbai,0
5490,915.183356,57:31.1,Mumbai,0
2534,15.30096239,57:31.1,Mumbai,0
497,584.0724557,57:31.1,Chennai,0
4588,131.5866063,57:31.1,Indore,0
8139,602.6643456,57:31.1,Houston,1
6115,270.4727234,57:31.1,Chennai,0
2390,688.7166135,57:31.1,Indore,0
495,464.2347065,57:31.1,Bengaluru,0
2421,160.8649115,57:31.1,Bengaluru,0
4432,547.3819471,57:31.1,Bengaluru,0
2866,580.5087458,57:31.1,Bengaluru,0
923,894.6576747,57:31.1,Chennai,0
6748,75.0008323,57:31.1,Mumbai,0
4867,356.6018157,57:31.1,Chennai,0
299,623.2675853,57:31.1,Bengaluru,0
6987,430.0184492,57:31.1,Mumbai,0
6215,773.0672433,57:31.1,Chennai,0
2398,26.42231215,57:31.1,Indore,0
3278,485.6095653,57:31.1,Mumbai,0
3658,511.0701767,57:31.1,Bengaluru,0
383,629.3139039,57:31.1,Bengaluru,0
2464,569.8079838,57:31.1,Mumbai,0
4581,934.6093368,57:31.1,Chennai,0
4476,484.3187373,57:31.1,Mumbai,0
5279,939.9844485,57:31.1,Chennai,0
7944,164.7563418,57:31.1,Chennai,0
2905,522.9876709,57:31.1,Indore,0
6899,320.7395046,57:31.1,Bengaluru,0
3598,553.1096055,57:31.1,Chennai,0
1127,87.89977315,57:31.1,Mumbai,0
4364,523.8779696,57:31.1,Indore,0
4243,756.4975376,57:31.1,Bengaluru,0
4711,419.550804,57:31.1,Chennai,0
1955,998.3491639,57:31.1,Indore,0
7722,930.9020313,57:31.1,Bengaluru,0
1912,876.7741111,57:31.1,Indore,0
7381,431.5520798,57:31.1,Bengaluru,0
3392,898.0212678,57:31.1,Chennai,0
5434,65.03061633,57:31.1,Bengaluru,0
7201,369.6487147,57:31.1,Mumbai,0
2169,676.5013845,57:31.1,Indore,0
7904,803.3299558,57:31.1,Chennai,0
285,578.7018609,57:31.1,Chennai,0
5475,10.81772502,57:31.1,Chennai,0
2120,882.533952,57:31.1,Chennai,0
284,94.8879579,57:31.1,Bengaluru,0
6637,906.9597108,57:31.1,Bengaluru,0
3372,595.7079627,57:31.1,Indore,0
2987,52.61705294,57:31.1,Indore,0
2329,636.7649688,57:31.1,Mumbai,0
6198,842.3515371,57:31.1,Chennai,0
5799,964.3888808,57:31.1,Bengaluru,0
1841,372.7948568,57:31.1,Mumbai,0
3182,289.8982588,57:31.1,Indore,0
4062,211.1082377,57:31.1,Bengaluru,0
4660,720.6636146,57:31.1,Indore,0
7369,189.8885761,57:31.1,Bengaluru,0
7452,437.7109569,57:31.1,Bengaluru,0
2141,819.2444503,57:31.1,Indore,0
4592,207.6110752,57:31.1,Chennai,0
2860,176.0465503,57:31.1,Bengaluru,0
7075,504.1880695,57:31.1,Indore,0
4689,544.7130797,57:31.1,Mumbai,0
7371,674.5127619,57:31.1,Bengaluru,0
6073,169.6904301,57:31.1,Indore,0
1651,37.12422014,57:31.1,Indore,0
3294,542.2192033,57:31.1,Chennai,0
4386,558.315802,57:31.1,Indore,0
902,27.50567167,57:31.1,Chennai,0
6214,351.3590782,57:31.1,Chennai,0
1393,170.5881472,57:31.1,Chennai,0
3040,519.1822934,57:31.1,Mumbai,0
2649,433.2964069,57:31.1,Chennai,0
5095,46.10621305,57:31.1,Chennai,0
1920,413.209219,57:31.1,Indore,0
6401,684.5248661,57:31.1,Mumbai,0
5695,755.0726309,57:31.1,Indore,0
7080,738.557215,57:31.1,Chennai,0
2326,955.105451,57:31.1,Indore,0
1899,356.0291841,57:31.1,Mumbai,0
5649,626.024263,57:31.1,Mumbai,0
4236,316.4573781,57:31.1,Chennai,0
6336,745.0059809,57:31.1,Chennai,0
533,996.6402002,57:31.1,Chennai,0
184,877.462014,57:31.1,Mumbai,0
3,732.2619479,57:31.1,Indore,0
4558,679.3875379,57:31.1,Indore,0
1337,200.3429085,57:31.1,Chennai,0
6340,286.9935822,57:31.1,Indore,0
4755,861.5842403,57:31.1,Bengaluru,0
401,104.020745,57:31.1,Indore,0
4124,900.3638471,57:31.1,Chennai,0
7017,242.1083541,57:31.1,Bengaluru,0
4176,995.5733316,57:31.1,Mumbai,0
7679,74.48979086,57:31.1,Bengaluru,0
4164,380.5990999,57:31.1,Mumbai,0
6658,321.2470184,57:31.1,Indore,0
8171,1888.75126,57:31.1,Houston,1
2454,347.929762,57:31.1,Chennai,0
4671,363.6198576,57:31.1,Chennai,0
3851,418.2493288,57:31.1,Chennai,0
4928,227.7515609,57:31.1,Mumbai,0
4315,970.9693094,57:31.1,Mumbai,0
6716,415.6920697,57:31.1,Chennai,0
5534,795.2165254,57:31.1,Bengaluru,0
3848,562.6266223,57:31.1,Bengaluru,0
5085,195.7633132,57:31.1,Mumbai,0
7348,471.314212,57:31.1,Mumbai,0
5406,895.6601851,57:31.1,Bengaluru,0
7391,650.2140578,57:31.1,Chennai,0
4333,440.4157841,57:31.1,Mumbai,0
1494,74.12272784,57:31.1,Mumbai,0
6385,460.155137,57:31.1,Mumbai,0
1137,851.3557071,57:31.1,Chennai,0
7012,806.0999367,57:31.1,Indore,0
